,open,high,low,adjusted close,volume,RSI_14,STO_14,CHO,returns
2010-09-03,66.9,67.04,65.74,66.0,217916,52.90693975775168,69.81627296587914,404060.8271797728,-0.004524886877828038
2010-09-06,66.0,66.2,65.65,66.1,92149,53.4034583891129,75.82417582417557,367617.818000298,0.0015151515151514694
2010-09-08,65.65,65.8,65.43,65.8,198340,51.644292063154616,80.39215686274484,382397.6944268495,-0.004538577912254094
2010-09-09,65.96,66.15,65.63,66.0,284280,52.761482487060306,89.86486486486494,391949.0422828235,0.003039513677811634
2010-09-10,66.0,66.19,65.73,66.19,212359,53.85226492758155,96.28378378378379,427793.4534709193,0.002878787878787925
2010-09-13,66.62,67.39,66.59,67.36,417770,59.98043960855261,100.0,526524.0690959655,0.017676386161051605
2010-09-14,67.39,67.4,66.83,66.97,320745,57.25127736160535,90.29850746268654,467125.20700562,-0.005789786223277971
2010-09-15,66.85,67.6,66.47,67.6,315900,60.386869058887726,100.0,500873.3809681516,0.009407197252500943
2010-09-16,67.27,67.3,66.9,67.2,183892,57.50290227752314,89.66408268733872,498401.0538648125,-0.005917159763313529
2010-09-17,66.9,67.19,66.3,66.6,365595,53.38441110424215,74.16020671834623,414176.5867566839,-0.008928571428571508
2010-09-20,66.67,67.62,66.55,67.35,634774,57.483613978242786,91.93548387096773,442111.6770748403,0.011261261261261257
2010-09-21,67.37,67.5,66.81,67.5,433085,58.27391144880099,94.44444444444476,551147.4706527367,0.0022271714922050823
2010-09-22,67.5,67.9,66.8,67.9,204282,60.38842178345324,100.0,610647.5252388995,0.005925925925926112
2010-09-23,67.43,68.84,67.35,68.28,426423,62.34087506013676,100.0,613167.4055558164,0.005596465390279803
2010-09-24,68.89,68.89,67.3,67.85,456131,58.80848973058055,82.6612903225804,513729.37833076157,-0.006297598125366233
2010-09-27,68.0,68.28,67.34,68.11,893196,60.27423018960311,93.14516129032252,607750.9575577546,0.0038319823139278952
2010-09-28,68.15,68.75,67.8,68.65,369381,63.202885247927,100.0,683751.3371286187,0.007928351196593741
2010-09-29,68.39,68.8,68.2,68.8,872209,63.99688105478991,100.0,930204.2344868258,0.002184996358339353
2010-09-30,68.8,69.1,68.32,68.7,411575,63.020587740534914,95.45454545454571,943104.0150028635,-0.0014534883720929148
2010-10-01,69.0,69.77,68.48,69.77,339282,68.54925989407083,100.0,970597.8329409845,0.015574963609898074
2010-10-04,69.5,69.88,69.38,69.85,187640,68.92335825629999,100.0,946148.3372846711,0.0011466246237636923
2010-10-05,70.0,70.61,69.95,70.56,411326,72.09569441570409,100.0,961179.4743773546,0.010164638511095392
2010-10-06,70.71,70.71,69.64,69.86,358150,65.0457100508436,82.32323232323229,812852.5531808827,-0.009920634920634996
2010-10-07,70.0,70.49,68.64,69.3,456432,59.991608097134495,60.74766355140181,636671.7078567892,-0.008016032064128265
2010-10-08,69.0,70.15,69.0,70.15,288298,64.50043859536653,86.60130718954261,598449.6613281351,0.012265512265512424
2010-10-11,70.4,70.44,70.1,70.25,395311,65.00017892074472,88.56088560885604,513611.11693230644,0.0014255167498218313
2010-10-13,69.76,71.35,69.76,70.89,549054,68.09570987483099,100.0,505827.82184514403,0.009110320284697604
2010-10-14,70.81,71.22,70.51,71.07,187574,68.92807654127752,100.0,491124.0201404691,0.002539145154464517
2010-10-15,71.1,71.29,70.66,71.21,185010,69.59256223390736,100.0,484377.7054909356,0.001969888841986789
2010-10-18,70.8,71.13,70.65,71.1,319840,68.35564339456722,95.703125,526629.8762714937,-0.001544726864204482
